ptid,polyid,acres,perim_m,lat,lon,date,outdate,parentid,parentac,name,tundra,maritime,boreal,BERING_TAI,ALEUTIAN_M,ALASKA_RAN,ARCTIC_TUN,COASTAL_RA,PACIFIC_MO,INTERMONTA,COAST_MOUN,BERING_TUN,FID_1,acres_1
12165,7751,7312.166,31754,65.59035,-160.657516,5/27/1990,6/11/1990,1493,7312.2,31006,29598300,0,0,26999100,0,0,0,0,0,0,0,2599200,7751,7312.166
10943,6897,1.182,367,65.44431,-153.254682,5/29/1990,6/14/1990,1674,4955.9,31012,0,0,5400,0,0,0,0,0,0,5400,0,0,6897,1.182
10928,6914,1167.405,12891,65.441478,-153.298386,5/29/1990,6/14/1990,1674,4955.9,31012,0,0,4715100,0,0,0,0,0,0,4715100,0,0,6914,1167.405
10868,6923,2125.689,25304,65.425925,-153.383798,5/29/1990,6/14/1990,1674,4955.9,31012,0,0,8602200,0,0,0,0,0,0,8602200,0,0,6923,2125.689
10988,6924,4.159,598,65.45792,-153.361031,5/29/1990,6/14/1990,1674,4955.9,31012,0,0,16200,0,0,0,0,0,0,16200,0,0,6924,4.159
10973,6932,1657.466,19639,65.454583,-153.318408,5/29/1990,6/14/1990,1674,4955.9,31012,0,0,6709500,0,0,0,0,0,0,6709500,0,0,6932,1657.466
4035,2370,2608.984,18163,63.84031,-155.062905,7/1/1990,7/29/1990,414,2609,31026,0,0,10561500,0,0,0,0,0,0,10561500,0,0,2370,2608.984
8652,5386,246.746,5450,64.733289,-151.199859,7/2/1990,7/15/1990,397,2998.1,31031,0,0,999000,0,0,0,0,0,0,999000,0,0,5386,246.746
8673,5390,24.293,2056,64.74054,-151.218587,7/2/1990,7/15/1990,397,2998.1,31031,0,0,98100,0,0,0,0,0,0,98100,0,0,5390,24.293
8684,5398,7.993,921,64.743597,-151.139035,7/2/1990,7/15/1990,397,2998.1,31031,0,0,32400,0,0,0,0,0,0,32400,0,0,5398,7.993
8649,5409,1332.997,16260,64.731483,-151.176218,7/2/1990,7/15/1990,397,2998.1,31031,0,0,5393700,0,0,0,0,0,0,5393700,0,0,5409,1332.997
8694,5436,1052.692,13852,64.745301,-151.180834,7/2/1990,7/15/1990,397,2998.1,31031,0,0,4260600,0,0,0,0,0,0,4260600,0,0,5436,1052.692
8748,5452,34.215,2083,64.762578,-151.222166,7/2/1990,7/15/1990,397,2998.1,31031,0,0,136800,0,0,0,0,0,0,136800,0,0,5452,34.215
8727,5467,299.133,8487,64.758393,-151.229054,7/2/1990,7/15/1990,397,2998.1,31031,0,0,1208700,0,0,0,0,0,0,1208700,0,0,5467,299.133
10014,6316,140.087,5638,65.107626,-149.830945,7/3/1990,7/31/1990,1675,6137.7,31035,0,0,569700,0,0,0,0,0,0,569700,0,0,6316,140.087
10122,6378,304.073,5435,65.135512,-149.80156,7/3/1990,7/31/1990,1675,6137.7,31035,0,0,1227600,0,0,0,0,0,0,1227600,0,0,6378,304.073
10075,6383,5693.527,31970,65.118808,-149.757133,7/3/1990,7/31/1990,1675,6137.7,31035,0,0,23031900,0,0,0,0,0,0,23031900,0,0,6383,5693.527
10443,6627,4067.376,23336,65.293865,-153.418824,7/3/1990,7/18/1990,1753,4067.4,31036,0,0,16460100,0,0,0,0,0,0,16460100,0,0,6627,4067.376
11677,7432,3323.998,21019,65.579146,-149.769614,7/3/1990,8/11/1990,1215,3324,31037,0,0,13446900,0,0,0,0,0,0,13446900,0,0,7432,3323.998
17366,9908,761.458,9295,66.779182,-152.731119,7/5/1990,8/2/1990,1485,2720.7,31039,0,0,3068100,0,0,0,0,0,0,3068100,0,0,9908,761.458
17373,9930,1959.256,15254,66.779802,-152.684149,7/5/1990,8/2/1990,1485,2720.7,31039,0,0,7941600,0,0,0,0,0,0,7941600,0,0,9930,1959.256
4890,2683,4903.196,39887,64.025412,-150.223976,7/7/1990,8/31/1990,428,4903.2,31041,0,0,19863000,0,0,12165300,0,0,0,7697700,0,0,2683,4903.196
11969,7599,1466.248,11812,65.62999,-149.387014,7/7/1990,8/11/1990,1275,1466.2,31042,0,0,5932800,0,0,0,0,0,0,5932800,0,0,7599,1466.248
10386,6565,666.909,11625,65.267452,-154.772915,7/2/1990,9/12/1990,1096,41989.2,31044,0,0,2705400,0,0,0,0,0,0,2705400,0,0,6565,666.909
10419,6568,3.804,907,65.275657,-154.900743,7/2/1990,9/12/1990,1096,41989.2,31044,0,0,16200,0,0,0,0,0,0,16200,0,0,6568,3.804
