FID,name,year,acres,date,parentid
0,Kandik River,2005,154431.6,6/11/2005 0:00,0
1,HULT CREEK,1968,5317.6,7/26/1968 0:00,1
2,HAYSTACK MT,1968,20127.5,7/23/1968 0:00,2
3,LAWSON,1969,8129.8,7/14/1969 0:00,3
4,CALICO BLUFF,1969,25658.8,6/22/1969 0:00,4
5,MOUNTAIN CREEK,1969,17336.4,7/12/1969 0:00,5
6,Big Creek,1999,28634,6/27/1999 0:00,6
7,BEAVER CREEK,1967,5452.7,6/19/1967 0:00,7
8,BEAR MT,1966,57183.9,8/8/1966 0:00,8
9,PUPIK HILLS,1971,1956.8,6/25/1971 0:00,9
10,LONE MTN. W-15,1955,8240.2,7/26/1955 0:00,10
11,BETTLES #2,1959,15552.7,6/28/1959 0:00,11
12,PAH RIVER,1972,91892.5,7/8/1972 0:00,12
13,331639,1993,3619.7,7/19/1993 0:00,13
14,NABESNA,1993,3405.9,7/19/1993 0:00,14
15,WIEN LAKE,1968,27130.2,7/23/1968 0:00,15
16,TAL SW 65,1988,1079.1,7/16/1988 0:00,16
17,IN-ALASKA,1954,10772.2,8/10/1954 0:00,17
18,POLE,1993,11538.1,7/19/1993 0:00,18
19,Bakatigikh Mountain,2005,11736.5,6/16/2005 0:00,19
20,GAL SW 94,1994,5837.7,6/9/1994 0:00,20
21,INNOKO #2,1957,77494.5,6/25/1957 0:00,21
22,BONEY,1969,4115.7,7/19/1969 0:00,22
23,Eska,1942,13388.3,5/8/1942 0:00,23
24,Road Commission,1942,6437.6,5/13/1942 0:00,24
25,NIGIKMIGOON,1972,7295.3,7/9/1972 0:00,25
26,Yetna River,2002,80991.4,7/18/2002 0:00,26
27,SHAKTOLIK,1957,11909.9,6/10/1957 0:00,27
28,HALFWAY ROADHOUSE,1957,94818.7,6/8/1957 0:00,28
29,BEAVER #40,1954,3663.3,6/7/1954 0:00,29
30,9 MILE SLOUGH,1968,4320.7,7/23/1968 0:00,30
31,Big Creek,1999,1472,7/12/1999 0:00,31
32,Rock Slough,1943,5632.7,6/19/1943 0:00,32
33,Batza,1946,15202,7/20/1946 0:00,33
34,631588 Antelope Cr.,1996,8988.6,7/5/1996 0:00,34
35,TANANA E-17,1959,1695.1,6/19/1959 0:00,35
36,TELSITNA #2,1959,3276.6,6/19/1959 0:00,36
37,Tozitna River,2005,57723.9,7/29/2005 0:00,37
38,Coffee Can Lake,2007,39795.5,7/5/2007 0:00,38
39,Negeethluk River,2006,57314.5,5/31/2006 0:00,39
40,TAL NE 37,1991,20363.8,6/29/1991 0:00,40
41,Fork,1991,4056.9,6/29/1991 0:00,41
42,BearPaw  Mt.,2000,36777.2,6/24/2000 0:00,42
43,Spike SE 6,1988,2377.7,6/30/1988 0:00,43
44,LIV N 18,1991,48564.7,6/22/1991 0:00,44
45,PAH RIVER,1959,4156.9,6/21/1959 0:00,45
46,100 Mile Creek,1996,79732.8,5/29/1996 0:00,46
47,Frozen Calf,1996,2546.4,6/17/1996 0:00,47
48,YUKON,1972,2295.9,7/31/1972 0:00,48
49,OLD WOMAN,1976,1545.7,6/14/1976 0:00,49
50,Wild,2007,2119.7,7/8/2007 0:00,50
51,Jagged Ridge,2009,53889.4,7/26/2009 0:00,51
52,MAXIM,1972,2092.7,7/8/1972 0:00,52
53,VREELAND,1967,3320.3,5/29/1967 0:00,53
54,X-MAS CREEK,1968,6661.2,7/23/1968 0:00,54
55,BETTLES #1,1959,3878.1,6/28/1959 0:00,55
56,BETTLES #5,1959,2456.3,6/28/1959 0:00,56
57,CLOUDY MT,1972,2129.8,7/8/1972 0:00,57
58,Uvgoon Creek #2,1999,88640.2,6/26/1999 0:00,58
59,Edwards Creek,2004,278116,6/14/2004 0:00,59
60,Wellesley,1991,18768.1,6/21/1991 0:00,60
61,WALSH,1956,12014.3,6/14/1956 0:00,61
62,Beaver Creek #1,2005,7099.9,6/17/2005 0:00,62
63,Pah River Flats,2005,1151.5,6/16/2005 0:00,63
64,BEAR,1969,388814.4,6/21/1969 0:00,64
65,7 MILE ISLE,1968,2698.5,7/23/1968 0:00,65
66,FUNNEL CREEK,1967,4664.9,6/17/1967 0:00,66
67,TAKOTNA,1957,18215.7,6/27/1957 0:00,67
68,BLACK RIVER,1967,3457.5,6/19/1967 0:00,68
69,DUNE LAKE,1981,147524.2,5/18/1981 0:00,69
70,Wilson Camp,1981,14884.8,6/17/1981 0:00,70
71,ALATNA,1954,18906.4,7/19/1954 0:00,71
72,GINGER,1974,4728.8,6/23/1974 0:00,72
73,Talbiksok,2005,82123,8/2/2005 0:00,73
74,MONTAUK BLUFF,1969,15783,6/23/1969 0:00,74
75,REDOUBT,1972,1390.3,7/13/1972 0:00,75
76,KAN,1971,22786,6/21/1971 0:00,76
77,DIAMOND,1972,1397,7/14/1972 0:00,77
78,COLLINS,1969,20625.3,7/8/1969 0:00,78
79,ANDREAFSKY RIVER,1962,1040.3,7/19/1962 0:00,79
80,South Kotol MT.,1953,10406.6,7/28/1953 0:00,80
81,Mile 53 Taylor Fire,1953,15228.9,5/31/1953 0:00,81
82,SNO WHITE,1974,3899,6/21/1974 0:00,82
83,SPARREVOHN #3,1957,14064,6/8/1957 0:00,83
84,832015,1988,558929,6/11/1988 0:00,84
85,CEM E 55,1991,37833.5,6/25/1991 0:00,85
86,Porcupine,2003,1195.1,6/14/2003 0:00,86
87,SPARREVOHN #4,1957,6436.9,6/8/1957 0:00,87
88,HADWEEZIC,1974,2488,8/3/1974 0:00,88
89,Menotl East,2005,15814.3,7/26/2005 0:00,89
90,531028,1985,1216.9,8/1/1985 0:00,90
91,Live Trap Lake,2009,1664.9,5/25/2009 0:00,91
92,Unknown,2009,2800.3,5/26/2009 0:00,92
93,Beaver Creek Fire,1953,14058.7,7/27/1953 0:00,93
94,LAKE CREEK,1969,58413,7/9/1969 0:00,94
95,Coleen Mountain,2005,114814.1,7/24/2005 0:00,95
96,SND DUNE W 3,1981,4300.3,6/17/1981 0:00,96
97,Tanacross Fire,1947,1827.8,7/21/1947 0:00,97
98,BRIDGE,1972,239326.1,7/13/1972 0:00,98
99,KANDIK,1958,25261.7,6/4/1958 0:00,99
100,LANDING,1972,2042.9,7/11/1972 0:00,100
101,SHEEHIJEK #1,1959,9582.1,6/25/1959 0:00,101
102,HOLANADA CREEK,1969,614642.4,6/21/1969 0:00,102
103,VENETIE N-15,1957,17281.3,6/15/1957 0:00,103
104,KAIYAK,1972,5576.4,7/13/1972 0:00,104
105,IDITAROD SW-8,1957,1255.5,6/12/1957 0:00,105
106,GOLDSTREAM #1,1958,2965.5,5/30/1958 0:00,106
107,MINCHUMINA NW-25,1958,26103.1,6/2/1958 0:00,107
108,BONE CREEK,1958,2017,6/4/1958 0:00,108
109,FAIRBANKS CREEK NE-7,1958,23208.2,6/3/1958 0:00,109
110,SMALL LAKE S-16,1958,30723.1,7/21/1958 0:00,110
111,FROZEN FOOT,1993,1097.5,7/20/1993 0:00,111
112,HUGGINS ISLAND W-10,1959,8792,6/21/1959 0:00,112
113,HUGHES N-9,1959,3908.3,6/20/1959 0:00,113
114,732076,1987,38571.1,6/24/1987 0:00,114
115,40 Mile Yukon,1953,168727.7,7/30/1953 0:00,115
116,Jeannes Lake,2010,17080.6,5/27/2010 0:00,116
117,Mississippi,2013,67424.7,5/30/2013 0:00,117
118,Birch Creek,2013,24923.5,7/3/2013 0:00,118
119,Evaingiknuk,2010,5297.9,7/2/2010 0:00,119
120,Fryingpan Creek,2010,2707.1,5/25/2010 0:00,120
121,Mississippi Impact Area,2010,3968.7,5/17/2010 0:00,121
122,STONEY RIVER,1959,7904.6,6/22/1959 0:00,122
123,TAYLOR MTN SE 10,1959,3622.6,6/22/1959 0:00,123
124,LIVENGOOD SW-10,1958,4889.6,6/4/1958 0:00,124
125,South Schwatka,2010,1053.9,5/27/2010 0:00,125
126,Big Fish Lake,2013,1064.5,7/15/2013 0:00,126
127,Caribou Creek,2013,1436.4,8/11/2013 0:00,127
128,Kungiakrok Creek,2012,12855.5,7/3/2012 0:00,128
129,Moore Creek,2013,157747.3,5/31/2013 0:00,129
130,Sischu 2,2010,2740.7,5/28/2010 0:00,130
131,Popavich,2010,1956.5,5/26/2010 0:00,131
132,Yuki River,2010,9382.9,6/24/2010 0:00,132
133,Redlands Lake,2010,3058.9,9/25/2010 0:00,133
134,Kiliovilik Range,2010,2757.6,7/2/2010 0:00,134
135,Kiliovilik Creek,2010,17207.1,6/24/2010 0:00,135
136,SWANSON RIVER,1969,85306,8/3/1969 0:00,136
137,RUSSIAN RIVER,1969,2041,6/14/1969 0:00,137
138,PIPELINE,1974,2988.8,8/22/1974 0:00,138
139,Kristin Creek,2013,16746.8,6/18/2013 0:00,139
140,Chisana River,2013,46637.5,5/31/2013 0:00,140
141,Hammer Creek,2013,4265.9,6/27/2013 0:00,141
142,Innoko 1,2013,1542.1,6/28/2013 0:00,142
143,Tetlin Jct Ridge,2013,20744,6/26/2013 0:00,143
144,HORSEFLY,2007,2118.9,7/3/2007 0:00,144
145,MOREN DOME,1968,23055.6,7/22/1968 0:00,145
146,Middle Fork Kuskokwim,1951,30061.8,7/14/1951 0:00,146
147,NORTHWAY SOUTH,1954,3205.4,8/10/1954 0:00,147
148,Muddy River Fire,1951,17936.5,6/21/1951 0:00,148
149,Badger Road,1951,1936.4,5/21/1951 0:00,149
150,Kanuti - Bay Rivers,1950,31615.1,8/16/1950 0:00,150
151,Lost Horse Creek,2005,1866.6,6/28/2005 0:00,151
152,DEAD HORSE,1976,7013.8,8/2/1976 0:00,152
153,HSL E 20,1979,8881,6/4/1979 0:00,153
