FID,FireName,FireYear,CalcAcres,DiscDate,parentid,acres,perim
0, ,2001,84784.100000000006000,6/20/2001 0:00:00,1091,77936.509999999995000,228477.459999999990000
1, ,2001,84784.100000000006000,6/20/2001 0:00:00,1091,83701.539999999994000,184681.560000000000000
2,031035,1990,6137.699999999999800,7/3/1990 0:00:00,1675,5693.529999999999700,31970.320000000000000
3,031039,1990,2720.699999999999800,7/5/1990 0:00:00,1485,761.460000000000040,9295.040000000000900
4,031045,1990,4013.599999999999900,7/3/1990 0:00:00,1183,3798.639999999999900,27930.299999999999000
5,031051,1990,18172.200000000001000,7/17/1990 0:00:00,1173,17907.910000000000000,59652.370000000003000
6,031063,1990,17544.900000000001000,7/15/1990 0:00:00,1562,16902.709999999999000,86412.809999999998000
7,032018,1990,287704.000000000000000,6/27/1990 0:00:00,684,266717.210000000020000,392901.239999999990000
8,032018,1990,287704.000000000000000,6/27/1990 0:00:00,684,271806.130000000000000,395293.169999999980000
9,032018,1990,287704.000000000000000,6/27/1990 0:00:00,684,281094.419999999980000,375488.690000000000000
10,032018,1990,287704.000000000000000,6/27/1990 0:00:00,684,281157.260000000010000,380669.260000000010000
11,032018,1990,287704.000000000000000,6/27/1990 0:00:00,684,286569.729999999980000,413021.489999999990000
12,032034,1990,48868.000000000000000,7/17/1990 0:00:00,1428,48288.169999999998000,101352.300000000000000
13,032038,1990,152789.299999999990000,7/2/1990 0:00:00,1069,145326.200000000010000,185009.019999999990000
14,032038,1990,152789.299999999990000,7/2/1990 0:00:00,1069,150359.510000000010000,186904.500000000000000
15,032038,1990,152789.299999999990000,7/2/1990 0:00:00,1069,150871.420000000010000,181558.120000000000000
16,032038,1990,152789.299999999990000,7/2/1990 0:00:00,1069,152344.320000000010000,184606.600000000010000
17,032038,1990,152789.299999999990000,7/2/1990 0:00:00,1069,152616.459999999990000,180306.810000000000000
18,032038,1990,152789.299999999990000,7/2/1990 0:00:00,1069,152777.079999999990000,179977.470000000000000
19,032039,1990,4853.000000000000000,7/3/1990 0:00:00,1109,4538.380000000000100,23675.680000000000000
20,032040,1990,1537.900000000000100,7/3/1990 0:00:00,813,602.789999999999960,8321.280000000000700
21,032040,1990,1537.900000000000100,7/3/1990 0:00:00,813,991.860000000000010,13056.180000000000000
22,032042,1990,131906.799999999990000,7/2/1990 0:00:00,1139,112364.179999999990000,161733.200000000010000
23,100 Mile Creek,1996,79732.800000000003000,5/29/1996 0:00:00,46,46304.440000000002000,150825.649999999990000
24,100 Mile Creek,1996,79732.800000000003000,5/29/1996 0:00:00,46,65587.649999999994000,113984.630000000000000
25,100 Mile Creek,1996,79732.800000000003000,5/29/1996 0:00:00,46,67718.460000000006000,118504.440000000000000
26,100 Mile Creek,1996,79732.800000000003000,5/29/1996 0:00:00,46,72620.699999999997000,117198.130000000000000
27,100 Mile Creek,2014,23270.200000000001000,5/13/2014 0:00:00,217,20035.080000000002000,68891.750000000000000
28,100 Mile Creek,2014,23270.200000000001000,5/13/2014 0:00:00,217,22491.439999999999000,65645.750000000000000
29,100 Mile Creek,2014,23270.200000000001000,5/13/2014 0:00:00,217,22968.299999999999000,65312.120000000003000
30,131408,1991,5963.100000000000400,6/23/1991 0:00:00,1079,5132.540000000000000,30924.209999999999000
31,131462,1991,16865.599999999999000,6/26/1991 0:00:00,1683,15711.520000000000000,58066.239999999998000
32,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,187355.579999999990000,271211.000000000000000
33,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,221527.600000000010000,240550.920000000010000
34,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,226697.130000000000000,268359.159999999970000
35,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,227382.910000000000000,267979.669999999980000
36,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,229961.950000000010000,245824.510000000010000
37,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,230380.299999999990000,259703.970000000000000
38,131569,1991,233101.000000000000000,6/30/1991 0:00:00,461,230941.989999999990000,258836.799999999990000
