FID,FID_prior_,FireName,FireYear,CalcAcres,DiscDate,parentid,FID_curr_f,FireName_1,FireYear_1,CalcAcre_1,DiscDate_1,parentid_1,pairid,ac,perim_m
0,1,Olga Bay Fire,1950,33808.199999999997000,11/26/1950 0:00:00,660,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,21450.540000000001000,72242.809999999998000
1,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Moser Bay,1997,14852.900000000000000,4/16/1997 0:00:00,1040,1,2495.199999999999800,29787.900000000001000
2,1,Olga Bay Fire,1950,33808.199999999997000,11/26/1950 0:00:00,660,1,Moser Bay,1997,14852.900000000000000,4/16/1997 0:00:00,1040,1,12357.660000000000000,39645.589999999997000
3,1,Iliamna Lake,1943,5999.100000000000400,6/19/1943 0:00:00,1715,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,2,5134.369999999999900,35523.820000000000000
4,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,ILIAMNA,2003,5460.390136719999600,5/23/2003 0:00:00,1111,2,4595.430000000000300,22067.799999999999000
5,1,Iliamna Lake,1943,5999.100000000000400,6/19/1943 0:00:00,1715,1,ILIAMNA,2003,5460.390136719999600,5/23/2003 0:00:00,1111,2,864.679999999999950,11354.700000000001000
6,1,NIKABUNA LAKES,1957,15646.000000000000000,7/1/1957 0:00:00,911,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,3,14576.799999999999000,41254.500000000000000
7,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Chulitna,2013,2446.800000000000200,6/19/2013 0:00:00,1825,3,1377.619999999999900,17786.040000000001000
8,1,NIKABUNA LAKES,1957,15646.000000000000000,7/1/1957 0:00:00,911,1,Chulitna,2013,2446.800000000000200,6/19/2013 0:00:00,1825,3,1069.230000000000000,9971.790000000000900
9,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,4,11035.719999999999000,49188.430000000000000
10,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Caribou Hills,2007,55437.800000000003000,6/19/2007 0:00:00,1599,4,52733.970000000001000,115973.370000000000000
11,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,1,Caribou Hills,2007,55437.800000000003000,6/19/2007 0:00:00,1599,4,2704.059999999999900,18473.209999999999000
12,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,5,11035.719999999999000,49188.430000000000000
13,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Caribou Hills,2007,55437.800000000003000,6/19/2007 0:00:00,1599,5,52733.970000000001000,115973.370000000000000
14,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,1,Caribou Hills,2007,55437.800000000003000,6/19/2007 0:00:00,1599,5,2704.059999999999900,18473.209999999999000
15,1,WINDY POINT,1994,3035.300000000000200,8/30/1994 0:00:00,1791,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,6,2682.510000000000200,25843.200000000001000
16,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,6,25179.959999999999000,79073.789999999994000
17,1,WINDY POINT,1994,3035.300000000000200,8/30/1994 0:00:00,1791,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,6,352.769999999999980,15992.440000000001000
18,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,7,12899.730000000000000,58307.360000000001000
19,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,7,24692.689999999999000,72940.830000000002000
20,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,7,840.049999999999950,14181.510000000000000
21,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,8,12899.730000000000000,58307.360000000001000
22,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,8,24692.689999999999000,72940.830000000002000
23,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,8,840.049999999999950,14181.510000000000000
24,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,9,12899.730000000000000,58307.360000000001000
25,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,9,24692.689999999999000,72940.830000000002000
26,1,Crooked Creek,1996,13739.799999999999000,6/6/1996 0:00:00,758,1,Fox Creek,2005,25532.700000000001000,7/11/2005 0:00:00,1033,9,840.049999999999950,14181.510000000000000
27,1,Glacier Creek,2004,7129.500000000000000,8/14/2004 0:00:00,993,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,10,5734.100000000000400,40239.830000000002000
28,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,10,195214.660000000000000,220596.049999999990000
29,1,Glacier Creek,2004,7129.500000000000000,8/14/2004 0:00:00,993,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,10,1395.410000000000100,19160.810000000001000
30,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,11,8615.010000000000200,41566.949999999997000
31,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,11,195090.010000000010000,217524.950000000010000
32,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,11,1520.059999999999900,41277.699999999997000
33,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,12,183397.790000000010000,315250.739999999990000
34,1,Shanta Creek,2009,13212.200000000001000,6/30/2009 0:00:00,1578,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,12,13212.280000000001000,97004.119999999995000
35,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,13,8615.010000000000200,41566.949999999997000
36,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,13,195090.010000000010000,217524.950000000010000
37,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,13,1520.059999999999900,41277.699999999997000
38,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,14,312044.880000000000000,430361.130000000000000
39,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,14,4088.920000000000100,28256.740000000002000
40,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,14,6046.149999999999600,29702.360000000001000
41,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,15,312044.880000000000000,430361.130000000000000
42,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,15,4088.920000000000100,28256.740000000002000
43,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,15,6046.149999999999600,29702.360000000001000
44,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,16,312044.880000000000000,430361.130000000000000
45,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,16,4088.920000000000100,28256.740000000002000
46,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,16,6046.149999999999600,29702.360000000001000
47,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,17,312044.880000000000000,430361.130000000000000
48,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,17,4088.920000000000100,28256.740000000002000
49,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,King County Creek,2005,10135.100000000000000,6/26/2005 0:00:00,1012,17,6046.149999999999600,29702.360000000001000
50,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,18,299923.380000000000000,422078.359999999990000
51,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,18,178442.420000000010000,213940.850000000010000
52,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Funny River,2014,196610.100000000010000,5/19/2014 0:00:00,1762,18,18167.639999999999000,88532.500000000000000
53,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,19,317994.090000000030000,418281.950000000010000
54,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Hidden Creek,1996,5160.899999999999600,5/11/1996 0:00:00,219,19,5063.960000000000000,23068.270000000000000
55,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Hidden Creek,1996,5160.899999999999600,5/11/1996 0:00:00,219,19,96.939999999999998,9380.500000000000000
56,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,20,317994.090000000030000,418281.950000000010000
57,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Hidden Creek,1996,5160.899999999999600,5/11/1996 0:00:00,219,20,5063.960000000000000,23068.270000000000000
58,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,1,Hidden Creek,1996,5160.899999999999600,5/11/1996 0:00:00,219,20,96.939999999999998,9380.500000000000000
59,1,Kenai,1947,318091.000000000000000,6/3/1947 0:00:00,1523,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,21,317994.090000000030000,418281.950000000010000
60,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Hidden Creek,1996,5160.899999999999600,5/11/1996 0:00:00,219,21,5063.960000000000000,23068.270000000000000
