"year","parentid","parentac","name","n","year_int","sum_ac","doy","bor_ac","mar_ac","tun_ac","ecoreg1"
1940,215,12865.4,"Stuyahok River",3,NA,12865.371,NA,0,0,12865.2994305,"tundra"
1942,23,13388.3,"Eska",1,NA,13388.315,128,13386.369744,0,0,"boreal"
1942,827,2375.3,"Anderson",1,NA,2375.31,133,2373.394104,0,0,"boreal"
1942,24,6437.6,"Road Commission",1,NA,6437.6,133,6433.872885,0,0,"boreal"
1942,161,5578.3,"Buffalo",1,NA,5578.329,138,5577.8764545,0,0,"boreal"
1943,1711,3484.2,"Mile 245 ARR",1,NA,3484.213,134,3482.9202645,0,0,"boreal"
1943,390,1810.1,"Beluga #1",1,NA,1810.094,150,1809.6240465,0,0,"boreal"
1943,664,56592.5,"Birch Creek",3,NA,56592.525,152,56570.933754,0,0,"boreal"
1943,1715,5999.1,"Iliamna Lake",2,NA,5999.053,170,0,5999.758821,0,"maritime"
1943,32,5632.7,"Rock Slough",6,NA,5632.696,170,5633.0302905,0,0,"boreal"
1943,478,7707.3,"Chandalar River",1,NA,7707.312,193,7710.417315,0,0,"boreal"
1943,663,121201.4,"Black River",12,NA,121201.373,212,121199.4426375,0,0,"boreal"
1943,779,41171.8,"Graveyard Lake",8,NA,41171.716,216,41170.114629,0,0,"boreal"
1944,519,96142.1,"Birch Creek",8,NA,96142.131,187,96149.148552,0,0,"boreal"
1946,1304,4006.8,"Davis",1,NA,4006.807,154,4005.5473395,0,0,"boreal"
1946,411,88763.6,"Betttles Field Fire",12,NA,88763.647,189,88769.209464,0,0,"boreal"
1946,1608,4800.3,"Haggard",1,NA,4800.286,192,4800.162888,0,0,"boreal"
1946,661,170651.4,"Little Black",56,NA,170651.273,192,170661.536199,0,0,"boreal"
1946,1003,2161.7,"Porcupine",1,NA,2161.699,192,2162.3417235,0,0,"boreal"
1946,479,2444.4,"Dahl River",1,NA,2444.408,193,2447.8962615,0,0,"boreal"
1946,487,2685.1,"Rogers Creek",9,NA,2685.086,193,2693.8645785,0,0,"boreal"
1946,486,17705.8,"Sand Dune",4,NA,17705.784,200,17703.2693835,0,0,"boreal"
1946,33,15202,"Batza",59,NA,15201.692,201,15199.9968915,0,0,"boreal"
1946,436,34930.5,"Circle",66,NA,34929.687,219,34935.7296105,0,0,"boreal"
1946,787,43595.8,"Little Salmon",11,NA,43595.803,219,43573.754385,0,0,"boreal"
1947,1523,318091,"Kenai",44,NA,318090.792,154,318095.746029,0,0,"boreal"
1947,984,5178.7,"Big Girstle River",5,NA,5178.673,173,5176.6767765,0,0,"boreal"
1947,97,1827.8,"Tanacross Fire",1,NA,1827.756,202,1828.08279,0,0,"boreal"
1947,1609,18781.1,"22 Mile Tok Road",1,NA,18781.057,205,18780.9931305,0,0,"boreal"
1948,1606,6224,"Nabesna River Fire",1,NA,6224.03,165,6221.4861375,0,0,"boreal"
1948,1008,12352.4,"Lake Clark",1,NA,12352.372,172,12352.0129245,0,0,"boreal"
1948,1607,2115.6,"12 Mile Slana River",1,NA,2115.614,174,2115.1940895,0,0,"boreal"
1948,786,14069.3,"Lackina River Fire",1,NA,14069.347,184,14069.3432535,0,0,"boreal"
1950,156,3201.2,"Fort Yukon #1",8,NA,3201.227,144,3203.5927725,0,0,"boreal"
1950,1757,1366729.1,"Little Black River",230,7,1366728.732,144,1366728.7356675,0,0,"boreal"
1950,780,608614.2,"Schuman House - Porcupine Rr.",67,NA,608613.572,144,608615.463636,0,0,"boreal"
1950,845,600995.7,"Venetie",154,NA,600995.157,144,600973.7662215,0,0,"boreal"
1950,1760,1959.5,"Gould Fire",1,NA,1959.529,149,1956.8492055,0,0,"boreal"
1950,159,4233.3,"Black Rapids",1,NA,4233.269,156,4233.501702,0,0,"boreal"
1950,158,2595.5,"Clear Creek",3,NA,2595.517,167,2594.899026,0,0,"boreal"
1950,537,7225.9,"Woodchopper Creek",12,NA,7225.911,167,7221.149415,0,0,"boreal"
1950,155,1747.6,"26 Mile - Eielson",1,NA,1747.596,168,1747.131192,0,0,"boreal"
1950,163,13134.8,"Eagle #1",6,NA,13134.844,169,13135.2863535,0,0,"boreal"
1950,1263,17531.4,"S.W. Butte",5,NA,17531.36,174,17531.358435,0,0,"boreal"
